Car_Brand,Year,Kilometers_Driven,Fuel_Type,Transmission,Engine_CC,Seats,Price
Hyundai,2013,48771.17572000247,Petrol,Automatic,1324,5.0,825113.7218107528
BMW,2015,88204.86666689937,Diesel,Manual,2655,5.0,727294.4622172262
Toyota,2011,29191.480352007948,Petrol,Manual,2306,5.0,1311405.7355582628
Honda,2017,59160.45432010813,Petrol,Manual,1458,5.0,1518064.9982534093
Maruti,2017,118568.0829362135,Petrol,Automatic,1690,5.0,597067.8726155695
Maruti,2010,57837.82545360431,Petrol,Manual,2281,5.0,426268.3954960918
Maruti,2021,23260.782148292477,Petrol,Manual,1251,4.0,1748970.6589097348
Tata,2012,11235.17068720776,Petrol,Manual,2337,5.0,1174313.219498565
Honda,2019,112049.08431870906,CNG,Manual,1682,5.0,1132188.4998669818
Toyota,2018,11074.943208013066,Diesel,Manual,1112,5.0,519537.73078409344
Maruti,2014,113852.88833020852,CNG,Manual,1639,5.0,1017138.6742917512
BMW,2015,47638.18602347772,Petrol,Automatic,1174,5.0,730051.6537511826
Tata,2013,149899.59213963314,Petrol,Manual,1250,5.0,659536.8601087688
Maruti,2019,90168.62615115626,Diesel,Automatic,1394,5.0,659000.7709544364
Maruti,2011,319109.72054236627,Petrol,Manual,2033,5.0,866085.6935412968
Maruti,2020,31593.930842414185,Petrol,Manual,1299,5.0,1332484.5440423037
Hyundai,2017,82876.26295557289,Diesel,Automatic,1263,7.0,1822312.0801802808
Honda,2020,35702.45013114704,Petrol,Manual,912,4.0,561860.1828893339
Hyundai,2022,42684.36521425957,Diesel,Manual,1835,5.0,749758.824450185
Hyundai,2015,59376.64538140577,Diesel,Manual,2724,5.0,651697.6032943304
Honda,2014,48771.17572000247,Petrol,Manual,939,5.0,838769.8313809432
Maruti,2018,48771.17572000247,Petrol,Manual,2224,7.0,613923.0595058706
Hyundai,2010,48771.17572000247,Diesel,Manual,1316,5.0,1670045.211576947
Hyundai,2014,48771.17572000247,Petrol,Manual,2747,5.0,491875.2159433152
Hyundai,2015,48771.17572000247,Petrol,Manual,2965,5.0,562223.5578044956
Toyota,2014,48771.17572000247,CNG,Manual,1687,5.0,523086.38892657
Maruti,2015,48771.17572000247,Petrol,Manual,2141,5.0,636741.7129810958
Honda,2015,48771.17572000247,Diesel,Manual,849,5.0,362758.5294814438
Honda,2016,48771.17572000247,CNG,Manual,818,5.0,527724.3905076643
Maruti,2013,48771.17572000247,Petrol,Manual,1525,7.0,834853.1050596044
Honda,2020,48771.17572000247,Petrol,Manual,2273,5.0,831910.2794900965
Maruti,2017,48771.17572000247,Petrol,Automatic,1251,5.0,770147.7916274972
Maruti,2016,48771.17572000247,Petrol,Manual,1964,5.0,1275353.8861665896
Tata,2018,48771.17572000247,Petrol,Manual,1907,5.0,850678.004310506
BMW,2016,48771.17572000247,Diesel,Manual,1014,4.0,1254897.5537058504
Tata,2012,48771.17572000247,Petrol,Manual,2349,5.0,1823001.3326042872
Hyundai,2012,48771.17572000247,Diesel,Manual,927,5.0,1029571.5451607588
Maruti,2017,48771.17572000247,CNG,Automatic,2645,5.0,363523.6241417814
Toyota,2014,48771.17572000247,Diesel,Manual,1559,5.0,784759.7340652724
Hyundai,2013,48771.17572000247,Diesel,Automatic,2615,7.0,730715.875975976
Maruti,2017,48771.17572000247,Petrol,Automatic,1160,5.0,1388612.1869080449
Hyundai,2015,48771.17572000247,Diesel,Automatic,1368,5.0,647737.3613875089
Maruti,2011,48771.17572000247,Diesel,Automatic,2215,5.0,461264.44779808266
Tata,2013,48771.17572000247,Petrol,Manual,2397,4.0,542050.3164020466
Hyundai,2021,48771.17572000247,Petrol,Manual,2492,5.0,369462.9603476449
Toyota,2020,48771.17572000247,Diesel,Manual,1001,5.0,184655.34229922737
Hyundai,2013,48771.17572000247,Petrol,Manual,2864,5.0,1674060.0113076868
Honda,2015,48771.17572000247,Petrol,Manual,1317,5.0,689503.2499159065
Honda,2015,48771.17572000247,Petrol,Manual,2148,4.0,384894.9610352372
Maruti,2010,48771.17572000247,Petrol,Manual,2235,5.0,1450970.5444370422
BMW,2017,48771.17572000247,Diesel,Manual,2141,5.0,1573945.569569895
Toyota,2015,48771.17572000247,Diesel,Manual,1480,4.0,742654.5495945838
Tata,2012,48771.17572000247,Diesel,Manual,2788,5.0,355048.46895018395
Tata,2018,48771.17572000247,Petrol,Manual,2291,5.0,548226.9014427202
Honda,2011,48771.17572000247,Petrol,Automatic,1224,5.0,615061.3369537051
Tata,2020,48771.17572000247,Petrol,Manual,2768,5.0,700583.5955513456
Maruti,2017,48771.17572000247,Petrol,Manual,2512,5.0,406521.561094725
Maruti,2019,48771.17572000247,Petrol,Manual,1577,5.0,1070668.9522905718
Maruti,2012,48771.17572000247,Diesel,Manual,2945,5.0,248866.64318116105
Hyundai,2022,48771.17572000247,Petrol,Manual,2626,5.0,1155776.0533746972
Hyundai,2021,12979.150416638424,Diesel,Manual,1007,5.0,1276330.61060047
Hyundai,2014,183854.2108263387,Petrol,Manual,2337,5.0,573818.8637246911
Tata,2015,117616.0485013,Petrol,Manual,2459,5.0,662644.3150699199
Hyundai,2019,141382.72769033772,Petrol,Manual,821,5.0,1355445.3978177253
Hyundai,2015,274002.48845248536,CNG,Manual,953,5.0,931306.377896999
Honda,2013,19551.684828809262,Diesel,Manual,2762,5.0,583500.6464949695
Maruti,2012,35229.09274469403,CNG,Manual,1018,7.0,616612.1099863638
Tata,2013,80990.17377406354,Petrol,Manual,1468,5.0,868437.5566878755
Maruti,2010,69539.77012106686,Petrol,Automatic,2318,5.0,1597878.9187951763
BMW,2013,18355.64423967534,Diesel,Manual,2867,4.0,625725.0449605703
Toyota,2010,94595.65014931576,Petrol,Manual,1749,5.0,575119.6012166239
Maruti,2021,22708.53336202932,Diesel,Manual,2995,5.0,698239.7673244192
Maruti,2010,22668.387698482155,Petrol,Manual,1202,5.0,700229.8551609009
Tata,2019,48498.64921454185,Petrol,Manual,1395,5.0,795923.3554193493
Toyota,2015,54939.72620934595,Petrol,Manual,2237,5.0,663656.5887204446
Toyota,2014,53385.29227647337,Petrol,Automatic,1957,4.0,1189665.7095140377
Toyota,2020,14797.295148550687,Diesel,Manual,2542,7.0,445171.6874907401
Maruti,2013,114966.24056457118,Petrol,Manual,2106,5.0,838303.0960889965
Hyundai,2022,25435.07488335077,Petrol,Manual,872,7.0,854164.7646764797
Maruti,2020,16935.233048470014,Petrol,Manual,1280,5.0,463415.5540112364
Tata,2012,119797.90492400168,Petrol,Manual,1359,5.0,834293.8890302482
Honda,2010,165783.81763766395,Diesel,Manual,1544,5.0,864955.656883977
Hyundai,2015,109071.33922374812,Diesel,Automatic,2266,5.0,213155.4687489296
Maruti,2011,92909.37348668062,CNG,Manual,899,5.0,426031.0548208365
Hyundai,2017,63245.625059931,Diesel,Manual,1882,7.0,1411976.918284733
Hyundai,2019,50020.73907849494,Petrol,Automatic,1212,5.0,514995.5769170383
Toyota,2014,14550.244837617542,Diesel,Manual,1888,5.0,384474.4389804085
Honda,2016,36250.72499551324,Petrol,Automatic,1977,5.0,280902.9567351245
Tata,2019,33315.60393153081,Petrol,Manual,2808,5.0,408389.6850830551
Hyundai,2021,25038.621173814223,Diesel,Automatic,1620,7.0,650261.0189189292
Maruti,2011,74262.77899985341,Petrol,Manual,1461,4.0,372381.705994804
Toyota,2022,44246.62419588268,Diesel,Automatic,1359,5.0,937227.435195387
Toyota,2017,14225.972361777927,Petrol,Automatic,2071,5.0,459571.4975557141
Honda,2011,22434.813059020824,Diesel,Manual,2613,5.0,798850.7010398594
Toyota,2013,67483.50637986245,Diesel,Automatic,1409,7.0,1311446.2796620696
Hyundai,2010,13959.242009745616,Diesel,Manual,824,5.0,1271041.9668959947
Honda,2014,105259.93115221024,Diesel,Manual,2828,5.0,792277.9168049085
Hyundai,2018,44174.35221560392,Diesel,Manual,1083,5.0,396436.5538832232
Maruti,2010,42752.75687177955,Petrol,Manual,2272,5.0,671718.1045552336
Maruti,2018,54874.40382940374,Diesel,Manual,1100,5.0,804771.243583041
Maruti,2020,97057.39564722384,Petrol,Manual,1891,5.0,1995995.9169095696
Honda,2017,31370.90669726076,Diesel,Manual,1830,5.0,279831.01291675103
Hyundai,2015,66662.69489614255,Diesel,Automatic,1616,5.0,672859.8465191186
Honda,2016,51704.66705174868,Diesel,Automatic,882,5.0,921078.9348747204
Tata,2012,25532.407280053536,Petrol,Manual,2720,5.0,724548.8457582899
Maruti,2010,115445.57177201792,Petrol,Manual,2893,5.0,763031.0308762987
Hyundai,2014,89832.50668763663,Diesel,Manual,1417,5.0,472388.7930792393
Toyota,2021,63713.3284692438,Petrol,Manual,975,5.0,1061567.4239783362
Maruti,2021,105050.28592708032,Petrol,Manual,1989,5.0,700384.2869055007
Maruti,2011,110981.0319110265,Petrol,Manual,1641,5.0,761701.6879281637
Hyundai,2014,71612.26604546554,CNG,Manual,1169,5.0,1116772.528068253
Maruti,2017,100704.34253104664,Diesel,Automatic,2618,5.0,591956.3473956694
Tata,2020,69778.9832185992,Petrol,Manual,2901,5.0,1236822.7946835563
Tata,2018,66993.71458644324,Petrol,Manual,1489,5.0,366777.1351378044
Honda,2011,58196.82095110941,Petrol,Manual,2579,5.0,782649.4836893375
Tata,2021,79861.0195813032,Diesel,Manual,2164,5.0,458896.282337728
Tata,2012,18634.70877306395,Diesel,Manual,2232,5.0,405394.4709219723
Maruti,2012,116377.31590260766,Petrol,Manual,1166,5.0,1588501.2141690997
Tata,2010,112725.16610714675,Petrol,Manual,1443,5.0,375340.0106086556
Honda,2017,11484.175577151102,Petrol,Manual,872,5.0,706944.8247172566
Tata,2015,97382.36881376569,Diesel,Automatic,2071,5.0,362602.4164754684
Tata,2021,16898.195370187783,Diesel,Automatic,1659,5.0,1199257.5958779224
Hyundai,2022,30407.34912546543,Petrol,Manual,842,5.0,564109.6150634431
Maruti,2017,78032.94015803708,Petrol,Manual,1864,5.0,1113891.8852339452
Maruti,2020,18762.92173647816,Petrol,Manual,2316,5.0,905969.3159655893
Hyundai,2018,95178.3711079286,CNG,Manual,2886,5.0,1844935.0256998015
Tata,2014,99229.5148506112,Petrol,Manual,1168,5.0,331377.380348125
Tata,2021,45409.76526547985,Diesel,Manual,950,5.0,424410.17780153546
Maruti,2012,10320.317430870758,Diesel,Manual,1934,5.0,1084516.7327634704
Honda,2014,26916.367135592754,Petrol,Manual,2303,5.0,800823.0049226157
Hyundai,2014,57976.47471818693,Petrol,Manual,2259,5.0,612436.2008145872
Maruti,2014,208658.1733987204,Petrol,Automatic,1870,5.0,1671982.724535168
Maruti,2012,59958.28745445317,Diesel,Automatic,1823,5.0,683556.3721552301
Hyundai,2020,25041.98485050585,Diesel,Manual,2398,5.0,467027.7411787256
Tata,2019,60256.87639707752,Diesel,Manual,2840,5.0,1120499.8993183298
Hyundai,2013,48824.85033888357,Diesel,Automatic,2189,5.0,694524.0089510591
Honda,2018,85671.26150647328,Petrol,Manual,868,5.0,720540.662923999
Toyota,2022,15657.350864791451,CNG,Automatic,1743,5.0,943131.074762912
Hyundai,2019,81570.42403682414,Diesel,Manual,1601,5.0,961042.9010171846
BMW,2018,48964.30095349447,Petrol,Automatic,860,5.0,421812.7983035634
BMW,2011,174831.0638883833,CNG,Manual,1745,5.0,595807.5328486692
Hyundai,2017,30917.80449945556,Diesel,Automatic,2137,5.0,348871.771343198
Hyundai,2017,60068.18486725116,Diesel,Automatic,1984,5.0,806559.0251942148
Hyundai,2016,144433.04877842756,Diesel,Manual,1130,5.0,1574246.2429865403
Hyundai,2017,15407.64988326373,Diesel,Manual,2351,5.0,429789.5996535337
Maruti,2012,148412.69634193843,Diesel,Automatic,1137,5.0,321481.3178980724
Honda,2022,68219.29417789845,Petrol,Manual,2429,5.0,502219.152816902
Honda,2015,13512.382514555416,Petrol,Automatic,2127,5.0,609918.3797424773
Maruti,2010,27902.62082141199,Diesel,Manual,2326,5.0,965173.6949312288
Hyundai,2016,71579.54975606562,Petrol,Manual,2473,5.0,580066.479368232
Tata,2010,13486.296369738066,Petrol,Manual,2161,5.0,813554.3499583718
Maruti,2018,53634.08645474819,Petrol,Manual,2373,7.0,536942.1380894798
